Provider/Currency,Supported National Currencies,Supported Crypto Currencies,Disclaimer
IGTech,"ADA, AD2, AED, AFN, ALL, AMD, ANG, AOA, ARS, AR1, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BOS, BRL, BSD, BTN, BTS, BTT, BWP, BYN, BZD, CAD, CDF, CHF, CLF, CLP, CNY, COP, CRC, CUC, CUP, CVE, CZK, DGB, DJF, DKK, DOT, DOG, DOP, DOT, DZD, EEK, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GGP, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, IMP, INS, INR, IQD, IRT, IRR, ISK, JEP, JMD, JOD, JPY, KES, KGS, KHR, LMF KPW, KRW, KWD, KZT, LAK, LSL, LTL. LYD, MAD, MDL, MGA, MKD, MNK, MMT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK ,NPR, NZD, OMG, OMR, PAB, PEN, PHP, PKS, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SAT, SCR, SDG, SEK, SGD, SLE, SLL, SOL, SOS, SRD, SSP, SXT, SYP, SZL, THB, TJS, TMT, TND, TOP, TRX, TRN, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VEF, VES, VND, WMR, WMU, WMZ, XAF, XDR, XEM, XOF, XRP, XVG, ZAR, ZEC, ZMW, ZWL",-,
IMoon,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MYR  MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD SSP STD STN SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VES VND VUV WST XAF XCD XDR XOF XPF YER ZAR ZMW ZML,AAVE ADA ALGO APT ARB ATOM AVAX BCH BNB BSV BTC BUSD CBET CRO CRU CRU CUSD DAI DGB DOGE DOT EOS ETC ETH EURS FIL FNT FTN FUN FUNT GRT GUSD HBAR ICP L3USD LDO LEO LIF3 LINK LTC MATIC mBTC mETH MKR MNT NEAR OKB OM OP QNT RT RUNE SHIB SOL STX TON TRX TUSD UNI USDC USDD USDT VET WBTC XAU XDC XLM XMR XRP ZEC,
InOut,"AED, AFN, ALL, AMD, ANG, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BRL, BSD, BTN, BWP, BYN, BZD, CAD, CDF, CHF, CLF, CLP, CNY, COP, CRC, CUP, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KPW, KRW, KWD, KYD, KZT, LAK, LBP, LKR, LRD, LSL, LYD, MAD, MDL, MGA, MKD, MMK, MNT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SHP, SLE, SOS, SRD, SSP, SVC, SYP, SZL, THB, TRY, TZS, UAH, USD, UYU, UZS, VEF, VES, VND, XOF, ZAR, ZMW, UGX","ADA, BCH, BNB, BUSD, CSC, DASH, DOG, TRX, USDC, USDT, XMR, XRP, ZEC, TON",
ISoftBet,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RMB RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SPL SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TVD TWD TZS UAH UGX USD UYU UZS VEB VND VUV WST XAF XAG XAU XCD XOF XPD XPF YER ZAR ZMW ZWD BYN CNH DOG OTH MRU MXV STN VES,"XRP, TRX, XDT, DOG, OTH, XAU, OTC, XPD, XPT, XAG, XDR",
Habanero,AED ALL DZD AOA ARS AMD AUD AZN BSD BHD BDT BYN BYR BOB BAM BWP GBP BND BGN MMK MMK2 CAD KHR CVE XAF XPF CLP CNY COP KMF CDF CRC HRK CUP CZK DKK DJF DOP EGP ERN ETB EUR GMD GEL GHS GTQ GNF GYD HTG HNL HKD HUF INR IDR IDR2 IQD IQD2 ILS JMD JPY JOD KZT KES KRW KWD KGS LAK LAK2 LSL LRD LYD MOP MKD MGA MWK MYR MVR MRU MUR MXN MDL MNT MAD MZN NAD NPR NZD NIO NGN NOK OMR PYG PAB PKR PEN PHP PLN QAR RMB RON RUB RWF SAR SVC RSD SCR SLL SLE SOS SSP HKP LKR SDG SRD SZL SEK CHF TJS TZS THB TTD TND TRY TMT TOP UGX UAH UYU USD UZS VEF VES VND VND2 XOF YER ZMW        ,"uBTC, mETH, mLTC, BCH, mBCH, USDT, XRP, TRX, DOGE EOS uBCH uETH",ZAR only for South Africa licensed operators
HacksawGaming,ALL AOA ARS AMD AUD AZN BDT BYN BOB BAM BRL BND BGN KHR CAD ZAF CLP RMB CNY COP CDF HRK CZK DKK DOP EGP EUR GMD GEL GHS GTQ GNF HTG HNL HKD HUF ISK INR IDR IRR IQD ILS JPY KZT KES KWD KGS LRD MKD MGA MWK MYR MXN MDL MNT MAD MZN MMK NPR RON TWD NZD NGN NOK PKR PAB PYG PEN PHP PLN GBP RUB RWF SAR RSD SCR SLL SGD ZAR KRW SSP LKR SEK CHF TJS TZS THB TND TRY TMT AED UGX UAH UYU USD UZS VES VND XOF ZMW,ADA uBTC BCH MBNB (BNB3) mBCH DOGE EOS mETH uETH nETH LTC mLTC SOL TRX USDT USDC XRP,
High5 Games (via Relax),"AED, AMD, AOA, ARS, AUD, AZN, BAM, BDT, BGN, BOB, BRL, BYN, CAD, CDF, CHF, CLP, CNY, COP, CRC, CZK, DKK, DOP, EGP, EUR, GBP, GEL, GHS, GMD, GTQ, HKD, HNL, HRK, HTG, HUF, IDR, INR, ILS, ISK, IQD, JPY, KES, KGS, KHR, KRW, KWD, KZT, LKR, MAD, MDL, MGA, MKD, MMK, MNT, MXN, MYR, MZN, NGN, NOK, NZD, PAB, PEN, PLN, PYG, QAR, RMB, RON, RSD, RUB, RWF, SAR, SDG, SEK, SGD, SLL, THB, TJS, TND, TRY, TWD, TZS, UAH, UGX, UYU, USD, UZS, VEF, VND, XAF, XOF, ZAR, ZMW",mLTC mETH DOGE USDT uBTC uETH,
"Hoelle Games
",AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SEK SGD` SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XCD XOF XPF YER ZAR ZMW ZWL,"UBTC MLTC DOGE METH MBCH USDT XRP PPC TRX MBNB EOS XLM
",
HoGaming,AED AMD ARS AUD AZN BAM BDT BGN BND BOB BRL BTN BYN CAD CDF CHF CLP CNY COP CUP CZK DKK DOP DZD EGP ETB EUR FJD GBP GEL GGP GHS GIP GMD GTQHKD HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JPY KES KGS KID KVN KZT LKR MRU MDL MKD MMK MNT MVR MXN MYR MZN NAD NGN NIO NOK NTD NZD PEN PHP PKR PLN PYG RON RSD RUB SAR SEK SGD SSP SYP THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XCD XOF ZAR ZMW	,mBTC mETH USDT	,
GameART,USD EUR GBP SGD ZAR VEF SEK THB ARS TRY COP RON CNY CHF CAD MXN MYR RSD GEL PEG CLP KES XAF AUD NOK RUB BRL JPY UAH UYU NGN DKK PLN KZT IDR CZK HUF PEN DOP AMD ALL BGN EEK LTL LVL MAD TND INR HKD TWD KRW BOB NZD HRK BAM LKR AED BDT MVW NPR AZN BSD GHS KGS MDL MUR PRB TJS TMT TTD BYR IQD IRR MGA RWF TZS UGX VND MKD ISK PHP IRT SAR QAR OMR JOD BHD KWD AOA CDF SCR ILS BND GTQ ZMK BYN XOF LSL CRC KHR MZN VES UZS PKR EGP ETB LPW MNT HTG RMB DZD NAD ZMW BWP HNL SZL LAK MMK MOP GNF SLL MWK LBP JMD SVC NIO AWG PAB CUP CUC SDG GMD BIF LRD	,"uBTC, mETH, uETH, mLTC, uLTC, BC2,BTT, TRX, USDT, SGD, BNB, DOGE, XRP, TRX",
Reevo Games,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BYR BZD CAD CDF CHF CLF CLP CNH CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EEK EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MRU MTL MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD SSP STD STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VES VND VUV WST XAF XAG XAU XCD XDR XOF XPD XPF XPT YER ZAR ZMK ZMW,"USDT, BCH, DOGE,uBTC",
Golden Race,"Europe/Africa: ALL AMD AOA AZN BAM BGN CDF CHF ETB GNF ISK CZK HUF DZD EUR GEL GHS GMD HRK ILS IQD KES KGS KZT LRD MDL MGA MKD MAD NAD NGN MUR PKR PLN PRB MWK RON RSD RUB RWF SAR SEK SSP TJS TMT TND TRY TZS UAH UGX USD USDT SCR UZS XAF XOF ZAR ZMW MZN
Asia: CNY EUR GBP HKD IDR INR JPY KHR KRW LAK MMK MYR THB TRY TWD USD VND AUD BDT BND IQD KGS KZT LBP LKR NZD PHP PKR SGD TJS TMT
Latin America: ARS BOB BRL CLP COP EUR MXN NIO PEN PYG USD UYU CRC DOP HNL HTG PAB","uBTC, USDT",
Vir2al Games,"BDT, BND, CNY, EUR, HKD, IDR, INR, IQD, JPY, KGS, KHR, KRW, KZT, LAK, LBP, LKR, MMK, MNT, MYR, PHP, PKR, SGD, THB, TJS, TMT, TRY, TWD, USD, UZS, VND",uBTC,
JDB,AED AMD ARS AUD BND BRL BDT BGN BOB BYN CAD CDF CHF CLP COP CRC DZD EUR EGP ETB GBP GHS GTQ HKD HNL IRR JPY KRW KES KGS KHR KZT LAK LBP LKR MMK MAD MNT MOP MUR MXN NGN NOK NPR NZD NIO PKR PHP PEN PYG CNY MYR MZN IDR INR RUB SEK THB TJS TMT TND TRY TZS USD UAH UGX UZS UYU VES VND WST XOF ZAR ZWD ZMW	,"TRX, USDT, TRX, ",
JiliAsia / Zenith,"BDT, BND, CNY, HKD, IDR, INR, JPY, kKHR, KRW, kLAK, LKR, MMK, MVR, MYR, NPR, PHP, PKR, THB, USD, VND","EOS, mDASH, mBCH, uBTC, DOG, mETH, mLTC, mSOL, USDT",
Kalamba,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BYR BZD CAD CDF CHF CHIPS CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP FUN GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SLL SOC SOS SRD SSP SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XCD XOF XPF XRP XXX YER ZAR ZMW ZWD IRT ADA RMB kVND kIDR,BCH DOG mETH mLTC TRX uBTC uETH uLTC USDT BNB mBCH SHIB BSV kCBET TUSD kSHIB CBET DAI NEO USDC BUSD XMR,
KA Gaming (Kaga),AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BOV BRL BSD BTN BWP BYN BZD CAD CDF CHE CHF CHW CLF CLP CNY COP COU CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MXV MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLE SOS SRD SSP STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD USN UYI UYU UZS VED VEF VND VUV WST XAF XCD XDR XOF XPF XSU XUA YER ZAR ZMW ZWL,"uBTC, mETH, mETH, BCH, mBCH, DOGE, TRX, USDT, XRP, XMR, DASH, mDASH",
Kiron,AED ALL AMD AOA AUD AZN BAM BDT BGN BHD BIF BMD BND BOB BRL BSD BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DIMD DKK DOP DZD EGP ETB EUR FJD FKP GBP GEL GHS GMD GNF GOLD GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KOR KRW KWD KZT LAK LBP LRD LSL LTL LYD MAD MDL MGA MKD MMK MNT MOP MUR MWK MXN MYR MZN NAD NGN NIO NOK NZD OMR PAB PGK PHP PKR PLN PRB PYG QAR RON RSD RUB RWF SAR SBD SCR SGD SLL SRD SSP SVC SYP SZL THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XOF YER ZMW	,uBTC,"ARS only for Argentina licensed operators
PEN only for Peru licensed operators
SEK only for Sweden licensed operators
ZAR only for South Africa licensed operators"
Leander,ARS AUD BGN BRL CAD CHF CLP CNY CZK DEC DKK EUR FUN GBP GEL GHS HKD HRK HUF INR ISK JPY KRW LTL MAD MOP MXN MYR NGN NOK NZD NPR PEN PLN PNT RON RUB SEK SGD SKK THB TKN TRY TWD UAH UYU USD VEF ZAR IDR VND,-,
Lucky Streak,AED ALL AMD AOA ARS AUD AZN BAM BDT BHD BGN BIF BND BOB BRL BSD BYN BMD BYR BZD CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DOP DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR INR IQD IRR IRT JMD JOD JPY KES KGS KHR KRW KVD KWD KZT KYD LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MUR MVR MWK MXN MYR MZN NAD NGN NOK NPR NSG NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SCR SEK SGD SLE SLL SOS SSP SYP THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND WVC XAF XOF ZAR ZMK ZMW ZWL,"USDT, BCH, DOGE",
LiveG24 (Medialive),AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BND BOB BRL BSD BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KRW KWD KZT LAK LBP LKR LRD LSL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SLL SOS SRD SSP STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XCD XOF XPF YER ZAR ZMW,-,
LiveSpins,"ADA, AED, AMD, AOA, ARS, AUD, AZN, BCH, BDT, BGN, BIF, BNB, BRL, BYN, CAD, CDF, CHF, CLP, CNY, COP, CRC, CZK, DASH, DKK, DOGE, EGP, EOS, EUR, FUN, GBP, GEL, GHS, GNF, HKD, HRK, HUF, IDR, INR, IQD, IRR, ISK, JPY, KES, KGS, KRW, KZT, LKR, LRD, MAD, MDL, MKD, MVR, MWK, MXN, MYR, MZN, NEO, NGN, NOK, NPR, NZD, PEN, PHP, PKR, PLN, RON, RSD, RUB, RWF, SEK, SGD, SLE, SLL, THB, TND, TRX, TRY, TZS, UAH, UGX, USD, USDT, UZS, VND, XAF, XLM, XOF, XRP, ZAR, ZMW","BCH, DASH, DOGE, EOS, FUN, NEO, TRX, uBTC",
LiveGames (Tombala),TRY USD EUR RUB AUD BGN BRL CAD CHF CNY CZK DKK GBP HKD HNL HRK HUF IDR ILS INR JPY KRW MXN MYR NOK NZD PHP PLN RON SEK SGD THB ZAR UAH AZN TMT GEL KGS MDL KZT AMD TJS PRB MNT COP XAF XOF IRR IRT CLP PEN ARS ARSB VEF UYU HTG RSD ALL BAM ISK MKD BOB PYG UZS BDT VND TWD NGN NPR ETB EGP CDF TZS SDG KES DZD UGX MAD GHS GNF MZN AOA AED MMK KWD SAR BYN TND OMR JOD BHD QAR ZMW ZWL IQD PKR KHR LRD	,ADA BCH BCN BNB BTS BUSD DASH DGB DOGE EOS FTN FUNC MATIC mBCH mBTC mDASH mETH mLTC mXMR mZEC SIB SOL TON TRX uBTC uETH uLTC USDC USDT XEM XMR XRP ZEC,
Mancala Gaming,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLF CLP CNH CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MXV MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLE SLL SOS SPL SRD STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TVD TWD TZS UAH UGX USD UYU UZS VED VEF VES VND VUV WST XAF XAG XAU XBT XCD XDR XOF XPD XPF XPT YER ZAR ZMW ZWD ZWL IRT,"uBTC, mETH, mLTC, BCH, mBCH, USDT, XRP, TRX, DOGE EOS uBCH uETH",It is possible to add other currency by request
MascotGaming,"AED, ALL, AMD, AOA, ARS, AUD, AZN, BC1, BDT, BGN, BHD, BND, BOB, BRL, BYN, CAD, CDF, CHF, CLP, CNY, COP, CRC, CZK, DJF, DKK, DOGE, DZD, EGP, ETB, EUR, GBP, GEL, GHS, GMD, GTQ, GYD, HKD, HRK, HUF, IDR, ILS, INR, IOT, IQD, IRR, ISK, JPY, KES, KGS, KHR, KMF, KRW, KWD, KZT, LBP, LRD, LTL, MAD, MDL, MKD, MMK, MNT, MOP, MXN, MYR, MZN, NGN, NIO, NOK, NZD, NPR, OMR, PEN, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SEK, SGD, SYP, THB, TJS, TMT, TND, TRY, TWD, TZS, UAH, UGX, USD, UYU, UZS, VEF, VES, VND, XAF, XOF, XCD, ZAR, ZMW, ZWL	","DOG, uBTC, mBCH, mETH, mLTC, USDT",
Microgaming (ex. MGAsia),AED AMD ARS AZN BDT BGN BND BRL CLP CNY CZK EGP EUR GBP GHS IDR INR IRR JPY KES KHR KRW KZT LAK MMK MXN MYR NGN NZD PEN PHP PKR PLN RSD RUB THB TRY TTH TZS UAH USD UZS VND ZMW        ,USDT,
Games Global (ex. MG),AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BND BOB BRL BYN BYR BZD CAD CDF CHF CLP CNY COP CRC CZK DJF DKK DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ GYD HKD HRK HUF IDR ILS INR IQD IRR ISK JOD JPY KES KGS KHR KMF KRW KWD KZT LBP LKR LRD LTL LYD MAD MDL MKD MMK MOP MXN MYR NGN NIO NOK NZD OMR PEN PHP PKR PLN PYG QAR RON RSD RWF SAR SEK SGD SLL SYP THB TJS TMT TND TRY TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XCD XOF ZAR ZMW,-,
N2Live,AED AFN AMD AOA ARS AUD AZN BDT BGN BHD BND BOB BRL BWP BYN BZD CAD CHF CLP CNY COP CRC CUP CYP CZK DKK DOP DZD EEK EGP EUR GBP GEL GHS GTQ HKD HNL HUF IDR ILS INR IQD IRR ISK JMD JPY KES KGS KHR KZT LAK LBP LKR LYD MAD MDL MGA MMK MNT MUR MXN MYR NAD NGN NOK NPR NZD PEN PHP PKR PLN QAR RON RUB SAR SEK SGD SKK SYP THB TMT TND TRL TRY TWD TZS UAH UGX USD UYU UZS VEB VND XAF XOF ZAR ,"uBTC, USDT, uETH, TRX",
Novomatic,AED AFN ALL AMD ANG AOA ARS AR1 AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BYR BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS IMP INR IQD IRR ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SPL SRD STD SVC SYP SZL THB TJS TMTTND TOP TRY TTD TVD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XAG XAU XCD XDR XOF XPD XPF XPT YER ZAR ZMW ZWD,-,
Nemesis,AED ALL AMD ANG AOA ARS AUD AZN BDT BOB BRL BYN CAD CDF CHF CLP CNY COP CRC CVE DKK DOP DZD ERN ETB EUR GBP GEL GHS GIP GMD GNF HNL HRK HTG IDR ILS INR IQD IRR JPY KES KGS KRW KZT LBP LYD MAD MGA MKD MVR MWK MXN MYR MZN NAD NGN NOK NZD PEN PKR PLN PYG RON RSD RUB SDG SEK SGD SLL SZL THB TMT TND TRY TZS UAH UGX USD UYU UZS VND XAF XOF ZAR ZMW,"mBTC, uBTC",
NetGame,"ADA, AD2, AED, AFN, ALL, AMD, ANG, AOA, ARS, AR1, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BOS, BRL, BSD, BTN, BTS, BTT, BWP, BYN, BZD, CAD, CDF, CHF, CLF, CLP, CNY, COP, CRC, CUC, CUP, CVE, CZK, DGB, DJF, DKK, DOT, DOG, DOP, DOT, DZD, EEK, EGP, ERN, ETB, EUR, FJD, FKP, GBP, GEL, GGP, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HRK, HTG, HUF, IDR, ILS, IMP, INS, INR, IQD, IRT, IRR, ISK, JEP, JMD, JOD, JPY, KES, KGS, KHR, LMF KPW, KRW, KWD, KZT, LAK, LRD, LSL, LTL. LYD, MAD, MDL, MGA, MKD, MNK, MMT, MOP, MRU, MUR, MVR, MWK, MXN, MYR, MZN, NAD, NGN, NIO, NOK ,NPR, NZD, OMG, OMR, PAB, PEN, PHP, PKS, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SAT, SCR, SDG, SEK, SGD, SLE, SLL, SOL, SOS, SRD, SSP, SXT, SYP, SZL, THB, TJS, TMT, TND, TOP, TRX, TRN, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VEF, VES, VND, WMR, WMU, WMZ, XAF, XDR, XEM, XOF, XRP, XVG, ZAR, ZEC, ZMW, ZWL	","BCH, DOGE, SHIB, XRP, TRX, MBC, USDT, mLTC (LT1), uETH (ET2), uBTC, mETC, mETH (ET1)",
NetEnt,"AED AFN ALL AMD ANG AOA ARS AR1 AWG AZN BAM BBD BDT BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CLP CNY COP CRC CVE DJF DKK DOP DZD EGP ERN EUR FJD FKP GHS GIP GMD GNF GYD HKD HNL HRK HTG HUF IDR ILS INR IQD ISK JMD JOD JPY KES KGS KHR KMF KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MNT MOP MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RUB RWF SAR SBD SCR SGD SHP SLE SLL SOS SRD SVC SZL THB TJS TMT TND TOP TRY TTD TZS UAH UGX USD UYU UZS VES VND VUV WST XAF XCD XCG XDR XOF XPF YER ZAR ZMW

Europe/Asia/LATAM instances have different regional packs of currencies","uBTC, ET2, LT2, mBCH, TRX, USDT","all countries where a license is required + their respective currencies won't be available unless you hold a valid license (CAD, CHF, CZK, GBP, GEL, RON, RSD, SEK)
"
